Model,Accuracy,Precision,Recall,F1,AUC
LogisticRegression,0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253,0.8116666666666666
RandomForest,0.7402597402597403,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.804074074074074
SVM,0.7077922077922078,0.6,0.5,0.5454545454545454,0.8137037037037037
